nose_X,nose_Y,neck_X,neck_Y,leftEye_X,leftEye_Y,rightEye_X,rightEye_Y,leftEar_X,leftEar_Y,rightEar_X,rightEar_Y,leftShoulder_X,leftShoulder_Y,rightShoulder_X,rightShoulder_Y,leftElbow_X,leftElbow_Y,rightElbow_X,rightElbow_Y,leftWrist_X,leftWrist_Y,rightWrist_X,rightWrist_Y,wrist_0_X,wrist_0_Y,thumbCMC_0_X,thumbCMC_0_Y,thumbMP_0_X,thumbMP_0_Y,thumbIP_0_X,thumbIP_0_Y,thumbTip_0_X,thumbTip_0_Y,indexMCP_0_X,indexMCP_0_Y,indexPIP_0_X,indexPIP_0_Y,indexDIP_0_X,indexDIP_0_Y,indexTip_0_X,indexTip_0_Y,middleMCP_0_X,middleMCP_0_Y,middlePIP_0_X,middlePIP_0_Y,middleDIP_0_X,middleDIP_0_Y,middleTip_0_X,middleTip_0_Y,ringMCP_0_X,ringMCP_0_Y,ringPIP_0_X,ringPIP_0_Y,ringDIP_0_X,ringDIP_0_Y,ringTip_0_X,ringTip_0_Y,littleMCP_0_X,littleMCP_0_Y,littlePIP_0_X,littlePIP_0_Y,littleDIP_0_X,littleDIP_0_Y,littleTip_0_X,littleTip_0_Y,wrist_1_X,wrist_1_Y,thumbCMC_1_X,thumbCMC_1_Y,thumbMP_1_X,thumbMP_1_Y,thumbIP_1_X,thumbIP_1_Y,thumbTip_1_X,thumbTip_1_Y,indexMCP_1_X,indexMCP_1_Y,indexPIP_1_X,indexPIP_1_Y,indexDIP_1_X,indexDIP_1_Y,indexTip_1_X,indexTip_1_Y,middleMCP_1_X,middleMCP_1_Y,middlePIP_1_X,middlePIP_1_Y,middleDIP_1_X,middleDIP_1_Y,middleTip_1_X,middleTip_1_Y,ringMCP_1_X,ringMCP_1_Y,ringPIP_1_X,ringPIP_1_Y,ringDIP_1_X,ringDIP_1_Y,ringTip_1_X,ringTip_1_Y,littleMCP_1_X,littleMCP_1_Y,littlePIP_1_X,littlePIP_1_Y,littleDIP_1_X,littleDIP_1_Y,littleTip_1_X,littleTip_1_Y,labels
0.2723019,0.7123873,0.2614685,1.199661,0.2949511,0.61160713,0.24500607,0.61539316,0.314052,0.6540876,0.21871208,0.6531876,0.38455337,1.2026767,0.13838363,1.1966454,0.4519521,1.9384184,0.049115945,1.9228303,0.32412362,2.233277,0.16436988,2.2422123,0.9166666,0.5225469,0.81169003,0.29283935,0.6235361,0.1801617,0.44561344,0.17459269,0.29698792,0.19309075,0.48345092,0.43226177,0.28680402,0.47030208,0.16534385,0.48509797,0.08333335,0.49250516,0.5014792,0.59204584,0.31882027,0.6135583,0.19832778,0.6173277,0.105197474,0.61140394,0.52755034,0.7134242,0.3593836,0.73032814,0.25130197,0.72690403,0.16312018,0.72317725,0.55605227,0.8021037,0.3994089,0.82439697,0.30328348,0.8254075,0.22281462,0.82376665,0.083333336,0.49633023,0.18684897,0.2983094,0.32774916,0.22603565,0.47560403,0.23669347,0.59588856,0.23101571,0.446229,0.4938779,0.66573006,0.4997651,0.78681463,0.48557922,0.88339984,0.47710833,0.4457767,0.61925036,0.67749053,0.6060618,0.8130173,0.5849499,0.9166667,0.57938874,0.42908347,0.69656444,0.6423273,0.71393484,0.7691088,0.70925105,0.86586607,0.70883685,0.40862453,0.7396032,0.5760735,0.76778764,0.67711455,0.7721695,0.7598765,0.77396435,0
0.27241406,0.7128478,0.26153263,1.1976422,0.2950777,0.6119329,0.24509162,0.6156526,0.31408772,0.6538451,0.21887945,0.6531629,0.38460442,1.2015036,0.13846081,1.1937807,0.45199528,1.9362421,0.04748184,1.9199609,0.32455844,2.2313337,0.16421011,2.2445235,0.9166666,0.5240617,0.8042415,0.29760715,0.618481,0.18783405,0.44360983,0.18380918,0.29567578,0.20268168,0.48579073,0.43870258,0.28666994,0.4746767,0.1658439,0.48824883,0.0833333,0.4948569,0.5040856,0.5956665,0.31875566,0.61571145,0.19860445,0.61629194,0.10597209,0.6077032,0.52922493,0.7136861,0.3588559,0.728293,0.25136918,0.7222858,0.16396956,0.71595275,0.5556504,0.7977485,0.39763665,0.81619084,0.30089834,0.81363416,0.22086266,0.8090047,0.08333335,0.49463266,0.18795282,0.29590407,0.32858065,0.22408439,0.4771445,0.23521267,0.5975407,0.22942771,0.4466694,0.49211302,0.66580623,0.4985114,0.7867288,0.48312435,0.88336605,0.47369033,0.44553095,0.61594176,0.67769563,0.602916,0.81330574,0.58138233,0.9166666,0.57528865,0.4278521,0.6917708,0.6405886,0.7106984,0.76793313,0.706897,0.8650366,0.70718265,0.40689254,0.7334023,0.57165986,0.76414025,0.6713207,0.77112424,0.7531389,0.77591544,0
0.27267423,0.7136918,0.26175153,1.1962388,0.295269,0.61246246,0.24542421,0.6161097,0.3141634,0.6536937,0.21924676,0.65415806,0.38478592,1.2003847,0.13871717,1.1920928,0.45199978,1.9322506,0.047228042,1.918191,0.32528988,2.2189963,0.16444638,2.2424088,0.9166666,0.522136,0.80429476,0.2937187,0.6193557,0.18139815,0.44380194,0.1829954,0.2963376,0.20637377,0.49078628,0.42946815,0.28757042,0.46955463,0.16584797,0.4880168,0.08333335,0.49843866,0.50992906,0.5873347,0.32004282,0.6131666,0.19762851,0.61977017,0.103153735,0.6167988,0.5344778,0.70615417,0.36180192,0.7276891,0.25171572,0.7278205,0.16189794,0.72674274,0.56001145,0.791173,0.40163594,0.8154763,0.30445838,0.81860167,0.2241484,0.8181642,0.0833333,0.4986778,0.18746702,0.29963517,0.3261684,0.226495,0.4740962,0.23740645,0.59436446,0.23129801,0.4429998,0.49454254,0.66285694,0.5010612,0.78366446,0.4853732,0.8804858,0.47515568,0.4427574,0.6194988,0.6769316,0.6063505,0.8130421,0.58419615,0.9166666,0.57622856,0.42629662,0.69554394,0.6404167,0.7132826,0.7683315,0.707787,0.8660881,0.7054344,0.40683395,0.73679835,0.57354873,0.76638055,0.67413867,0.7713174,0.7568046,0.7735053,0
0.27277523,0.7151494,0.26185447,1.1955956,0.29530558,0.6127007,0.24555355,0.6170504,0.31405416,0.6536666,0.21959347,0.65565383,0.38487124,1.1998684,0.13883768,1.1913229,0.45126376,1.9302409,0.04698149,1.9173187,0.32503608,2.2024372,0.16459541,2.2424407,0.9166667,0.5234823,0.8035023,0.2965513,0.6191502,0.18127002,0.44406345,0.18291341,0.29696664,0.20755684,0.49207056,0.42575812,0.28804123,0.4657514,0.16614412,0.48375994,0.08333331,0.49350303,0.5106867,0.5847368,0.31845918,0.6100773,0.19393587,0.6163057,0.09727324,0.61294675,0.5340891,0.7052456,0.35929742,0.7268981,0.24689439,0.727567,0.15506285,0.72671705,0.55835325,0.7927752,0.3977619,0.8155638,0.2982956,0.81872976,0.21545228,0.818172,0.083333306,0.49728093,0.18880118,0.29793793,0.32809746,0.22526959,0.47673967,0.23592162,0.59811217,0.23015471,0.4442851,0.4946587,0.6652661,0.5007272,0.7861094,0.48470882,0.8825374,0.47452018,0.4436177,0.62010974,0.67852825,0.6068509,0.81399596,0.5837265,0.9166666,0.5750271,0.42681402,0.6965124,0.6409419,0.7130875,0.7682388,0.70604527,0.86547697,0.70278674,0.40737614,0.73835593,0.57310414,0.7674998,0.67306286,0.7720575,0.7553462,0.77473044,0
0.2728206,0.71527,0.261861,1.1949683,0.29533437,0.6129025,0.24560302,0.6171345,0.31400147,0.6536817,0.21985716,0.6561429,0.3848766,1.1992607,0.13884538,1.190676,0.44888875,1.9294227,0.046462677,1.9163088,0.32484752,2.1935654,0.16322096,2.23482,0.91666675,0.5368819,0.82048357,0.2841291,0.63683856,0.17231064,0.46258017,0.18492708,0.3170539,0.20804858,0.48061332,0.4190198,0.2900234,0.47740138,0.16939144,0.5114319,0.08333337,0.5361321,0.49378428,0.58168983,0.31493062,0.6174329,0.19440436,0.6374271,0.09180997,0.6526961,0.5180724,0.70825917,0.35292453,0.7315775,0.2461723,0.7414815,0.1518199,0.7548826,0.5509026,0.8034307,0.39649576,0.8213746,0.30408487,0.82409644,0.22459155,0.82768905,0.08333334,0.5323791,0.17465438,0.337899,0.32014015,0.252234,0.47054607,0.24624874,0.5870262,0.22417964,0.4317858,0.5115719,0.6504964,0.5139346,0.7734424,0.5020254,0.86958027,0.4954475,0.43967098,0.6394668,0.6715862,0.6334805,0.81049335,0.6172185,0.9166667,0.60796803,0.43256903,0.718871,0.64350295,0.73156244,0.7722871,0.7255688,0.87132263,0.71785206,0.42040265,0.7614932,0.5905028,0.77582014,0.69211686,0.7749391,0.7757568,0.7689995,0
0.27448517,0.7177537,0.26361123,1.1962132,0.29714745,0.614828,0.24712454,0.6192746,0.3158215,0.6559648,0.22144951,0.6584838,0.38634202,1.1975169,0.14088048,1.1949096,0.4507153,1.9329269,0.047161542,1.9225929,0.33857307,2.0377758,0.1663813,2.1982934,0.9166666,0.43706635,0.77519023,0.24837123,0.5787936,0.1790819,0.41913486,0.21479651,0.3066815,0.21765435,0.4913056,0.32523465,0.27764136,0.43757564,0.17247844,0.50379705,0.09671262,0.55214804,0.5144622,0.4632955,0.28642252,0.5750565,0.16804549,0.63494027,0.08333335,0.677014,0.5503699,0.58946246,0.3378185,0.6976268,0.23173168,0.7420451,0.15921888,0.76846516,0.5964224,0.7064128,0.42378333,0.78191924,0.33866984,0.8078457,0.279565,0.8209179,0.083333336,0.55702764,0.14309213,0.34614578,0.26734543,0.21972738,0.3998594,0.17943828,0.5055251,0.144854,0.411431,0.4587833,0.6233253,0.47637582,0.7506598,0.48017558,0.8525389,0.49155492,0.4305984,0.60576624,0.6586994,0.6070663,0.8024168,0.61090285,0.9166667,0.6279897,0.430643,0.71526265,0.65194255,0.72652274,0.7839356,0.75077474,0.88855356,0.7788897,0.41795352,0.79267675,0.5959071,0.8198241,0.69992375,0.83704853,0.78614277,0.8551464,0
0.27550885,0.71912646,0.2647856,1.1977421,0.29827997,0.61591667,0.24809644,0.62041163,0.3169375,0.65743387,0.22245727,0.65997756,0.38732135,1.1976594,0.14224987,1.1978248,0.45165727,1.9371725,0.047548942,1.9272066,0.34304193,1.9930887,0.1682341,2.17942,0.91666675,0.44812137,0.77139425,0.26540884,0.57702005,0.1844634,0.4197983,0.21474092,0.3027395,0.22134687,0.50819016,0.32299662,0.30740777,0.42480722,0.1925096,0.4890939,0.10346065,0.5383063,0.5328089,0.4567293,0.3167157,0.5554453,0.18557434,0.6145648,0.083333366,0.6624736,0.5686101,0.5829874,0.36718395,0.67747,0.25096166,0.7235148,0.16218215,0.75703233,0.61269414,0.70359504,0.44699395,0.7713557,0.35959983,0.7974701,0.29274806,0.8155367,0.08333334,0.5617825,0.14428963,0.3534989,0.26056358,0.21483696,0.38386968,0.16471508,0.48282796,0.12537718,0.40536013,0.4458266,0.6157026,0.45712343,0.74815524,0.46355447,0.8552412,0.4765024,0.42010033,0.5947179,0.63981014,0.5896217,0.79161364,0.5936806,0.9166667,0.6072058,0.41784352,0.7101915,0.6308564,0.72546107,0.77377135,0.7506517,0.8879506,0.7777254,0.4039654,0.7961521,0.5814784,0.82899225,0.69651103,0.8518322,0.7927298,0.8746225,0
0.27624363,0.7202007,0.2658384,1.1993355,0.29911554,0.61681163,0.24879327,0.62126386,0.3177723,0.65849984,0.22313735,0.6610711,0.38819867,1.199085,0.14347818,1.1995858,0.4520647,1.942467,0.04797289,1.92283,0.3592843,1.890478,0.1628941,2.1092033,0.9166666,0.47550362,0.7378592,0.29933447,0.53926766,0.20195192,0.3943734,0.16519536,0.29298577,0.14239997,0.4739044,0.27832258,0.2734866,0.38337356,0.1717326,0.467822,0.09782493,0.53999245,0.5046302,0.4135202,0.29557878,0.5300954,0.17616877,0.6167596,0.08333335,0.69424045,0.54968107,0.5548819,0.36476827,0.67096263,0.26315868,0.74543786,0.18447511,0.8074454,0.603033,0.69647914,0.4590379,0.775263,0.3878107,0.8197661,0.3302055,0.8576002,0.11149862,0.71287984,0.11712709,0.4812858,0.20201357,0.2844635,0.30283806,0.16679975,0.39452985,0.08333324,0.49463624,0.38056675,0.6685244,0.33693448,0.7571101,0.36727425,0.82315224,0.4227714,0.54913986,0.54332656,0.71286,0.50626296,0.8098238,0.5292506,0.8885013,0.5765522,0.5667366,0.70144594,0.71843296,0.6956291,0.7998656,0.72689074,0.8637129,0.77105755,0.55232495,0.85254383,0.6860734,0.8740207,0.7410026,0.8929953,0.78147125,0.9166665,0
0.28020257,0.7248329,0.26775852,1.2049035,0.30346423,0.6207459,0.2526312,0.6246564,0.32228696,0.6627964,0.22640154,0.6648062,0.38979724,1.2067876,0.14571977,1.2030195,0.45827815,1.9600312,0.048773497,1.9347845,0.38345912,1.7512366,0.15370777,2.0159917,0.8170591,0.84852976,0.6650733,0.56732184,0.44865388,0.36741,0.28015327,0.22735369,0.18294102,0.08333339,0.4055706,0.4648517,0.3211527,0.39424992,0.32139423,0.3695677,0.31984207,0.35785064,0.47528207,0.6090747,0.43173936,0.5974374,0.4304169,0.5863218,0.4192398,0.5944782,0.56445366,0.74576586,0.51914585,0.74782735,0.5040281,0.74798065,0.47893482,0.76487225,0.66099405,0.8703433,0.5992337,0.8876475,0.583585,0.89714205,0.56593174,0.91666675,0.2091192,0.9166665,0.19965623,0.6376495,0.27133128,0.39527762,0.33982667,0.22753046,0.33516267,0.083333164,0.60734063,0.34957278,0.73383355,0.2764765,0.68698186,0.34811345,0.6211145,0.41024745,0.68348414,0.49685806,0.8003439,0.45619208,0.7484773,0.51310074,0.6746684,0.5626322,0.71633226,0.66710484,0.7990356,0.6731259,0.7430002,0.7057589,0.66737556,0.72953063,0.71703005,0.8456517,0.7821788,0.8702726,0.7244349,0.88228965,0.6571827,0.8876477,0
0.28290305,0.7292351,0.2690194,1.208609,0.30637163,0.62385994,0.2550885,0.6267148,0.3253481,0.6665786,0.22864065,0.66715205,0.39084756,1.2107393,0.14719126,1.2064786,0.46350607,2.0020108,0.049974326,1.9651874,0.39456677,1.6712816,0.15598217,1.9219328,0.56385785,0.9166667,0.42379647,0.7713319,0.33273283,0.5635388,0.28561568,0.3943048,0.23128988,0.26446018,0.40311056,0.42623973,0.42062655,0.23928307,0.4512641,0.15197346,0.48087955,0.08333339,0.4932216,0.45157546,0.52074015,0.26868954,0.5529718,0.17915672,0.5842867,0.109743014,0.58461195,0.5110207,0.6179277,0.33992004,0.65250874,0.25389066,0.6837422,0.18282339,0.6804165,0.59585494,0.7141672,0.46481028,0.74047214,0.38654023,0.7687102,0.31401485,0.2797782,0.9166667,0.25215852,0.65649587,0.30672556,0.40842247,0.35250294,0.23077667,0.3403243,0.083333336,0.5157034,0.40213063,0.6273018,0.25891268,0.64301664,0.21049641,0.6405145,0.18716253,0.59699595,0.5102417,0.7108542,0.3609032,0.71459633,0.3061936,0.69528985,0.28401136,0.6507057,0.6361254,0.7408515,0.5142052,0.7277694,0.46465737,0.69106627,0.4427764,0.68580425,0.77536166,0.7478415,0.68513477,0.73355496,0.6382286,0.70566976,0.61153,0
